time,snowfall_day_livneh_vic
1950-01-01 00:00:00+00:00,0.00070061604
1950-01-02 00:00:00+00:00,0.05657977
1950-01-03 00:00:00+00:00,0.07061346
1950-01-04 00:00:00+00:00,0.0
1950-01-05 00:00:00+00:00,0.0
1950-01-06 00:00:00+00:00,0.0
1950-01-07 00:00:00+00:00,0.2653522
1950-01-08 00:00:00+00:00,0.69377285
1950-01-09 00:00:00+00:00,0.92420423
1950-01-10 00:00:00+00:00,0.0603203
1950-01-11 00:00:00+00:00,0.6821138
1950-01-12 00:00:00+00:00,0.6703813
1950-01-13 00:00:00+00:00,0.059762694
1950-01-14 00:00:00+00:00,0.1192343
1950-01-15 00:00:00+00:00,0.037784245
1950-01-16 00:00:00+00:00,0.0056673824
1950-01-17 00:00:00+00:00,0.0
1950-01-18 00:00:00+00:00,0.0
1950-01-19 00:00:00+00:00,0.0
1950-01-20 00:00:00+00:00,0.0
1950-01-21 00:00:00+00:00,0.0
1950-01-22 00:00:00+00:00,0.0
1950-01-23 00:00:00+00:00,0.0039744643
1950-01-24 00:00:00+00:00,0.022494048
1950-01-25 00:00:00+00:00,0.09588167
1950-01-26 00:00:00+00:00,0.0
1950-01-27 00:00:00+00:00,0.003234393
1950-01-28 00:00:00+00:00,0.2403147
1950-01-29 00:00:00+00:00,0.26306763
1950-01-30 00:00:00+00:00,0.043194547
1950-01-31 00:00:00+00:00,0.0
1950-02-01 00:00:00+00:00,0.0
1950-02-02 00:00:00+00:00,0.0
1950-02-03 00:00:00+00:00,0.0
1950-02-04 00:00:00+00:00,0.006607326
1950-02-05 00:00:00+00:00,0.1372521
1950-02-06 00:00:00+00:00,0.23761304
1950-02-07 00:00:00+00:00,0.088700876
1950-02-08 00:00:00+00:00,6.8725365e-07
1950-02-09 00:00:00+00:00,0.03954755
1950-02-10 00:00:00+00:00,0.079152666
1950-02-11 00:00:00+00:00,0.045927353
1950-02-12 00:00:00+00:00,0.0044586523
1950-02-13 00:00:00+00:00,0.0
1950-02-14 00:00:00+00:00,0.0
1950-02-15 00:00:00+00:00,0.0
1950-02-16 00:00:00+00:00,0.0
1950-02-17 00:00:00+00:00,0.0
1950-02-18 00:00:00+00:00,0.0
1950-02-19 00:00:00+00:00,0.0
1950-02-20 00:00:00+00:00,0.0
1950-02-21 00:00:00+00:00,0.0
1950-02-22 00:00:00+00:00,0.0
1950-02-23 00:00:00+00:00,0.0
1950-02-24 00:00:00+00:00,0.0
1950-02-25 00:00:00+00:00,0.0016623404
1950-02-26 00:00:00+00:00,0.009654168
1950-02-27 00:00:00+00:00,0.00117942
1950-02-28 00:00:00+00:00,0.0028972926
1950-03-01 00:00:00+00:00,0.019002743
1950-03-02 00:00:00+00:00,0.00892066
1950-03-03 00:00:00+00:00,0.0
1950-03-04 00:00:00+00:00,0.0
1950-03-05 00:00:00+00:00,0.0
1950-03-06 00:00:00+00:00,0.0
1950-03-07 00:00:00+00:00,0.0
1950-03-08 00:00:00+00:00,0.0
1950-03-09 00:00:00+00:00,0.0
1950-03-10 00:00:00+00:00,0.0
1950-03-11 00:00:00+00:00,0.0
1950-03-12 00:00:00+00:00,0.0
1950-03-13 00:00:00+00:00,0.0
1950-03-14 00:00:00+00:00,0.0
1950-03-15 00:00:00+00:00,0.013703056
1950-03-16 00:00:00+00:00,0.043534365
1950-03-17 00:00:00+00:00,0.0
1950-03-18 00:00:00+00:00,0.0
1950-03-19 00:00:00+00:00,0.0
1950-03-20 00:00:00+00:00,0.0
1950-03-21 00:00:00+00:00,0.0
1950-03-22 00:00:00+00:00,0.0
1950-03-23 00:00:00+00:00,0.08881849
1950-03-24 00:00:00+00:00,0.20761657
1950-03-25 00:00:00+00:00,0.42035866
1950-03-26 00:00:00+00:00,0.00033436008
1950-03-27 00:00:00+00:00,0.00011247452
