time,snowfall_month_CanESM2_rcp85
2006-01-31 00:00:00+00:00,0.040772673
2006-02-28 00:00:00+00:00,0.05043897
2006-03-31 00:00:00+00:00,0.015416298
2006-04-30 00:00:00+00:00,0.050010502
2006-05-31 00:00:00+00:00,0.018072957
2006-06-30 00:00:00+00:00,0.00016805656
2006-07-31 00:00:00+00:00,0.00012215236
2006-08-31 00:00:00+00:00,0.00026900644
2006-09-30 00:00:00+00:00,2.9591769e-05
2006-10-31 00:00:00+00:00,0.0005234463
2006-11-30 00:00:00+00:00,0.0035225505
2006-12-31 00:00:00+00:00,0.0066736694
2007-01-31 00:00:00+00:00,0.0047671557
2007-02-28 00:00:00+00:00,0.08078981
2007-03-31 00:00:00+00:00,0.039154448
2007-04-30 00:00:00+00:00,0.0001351644
2007-05-31 00:00:00+00:00,0.0003415762
2007-06-30 00:00:00+00:00,8.020795e-06
2007-07-31 00:00:00+00:00,2.4341864e-06
2007-08-31 00:00:00+00:00,0.0
2007-09-30 00:00:00+00:00,6.7601424e-05
2007-10-31 00:00:00+00:00,0.0044197356
2007-11-30 00:00:00+00:00,0.02036902
2007-12-31 00:00:00+00:00,0.0016138561
2008-01-31 00:00:00+00:00,0.060344804
2008-02-29 00:00:00+00:00,0.043496795
2008-03-31 00:00:00+00:00,0.020470407
2008-04-30 00:00:00+00:00,0.001648492
2008-05-31 00:00:00+00:00,0.0009721269
2008-06-30 00:00:00+00:00,4.8173235e-05
2008-07-31 00:00:00+00:00,7.352899e-06
2008-08-31 00:00:00+00:00,1.6136761e-06
2008-09-30 00:00:00+00:00,0.0001338574
2008-10-31 00:00:00+00:00,0.002956908
2008-11-30 00:00:00+00:00,0.012960158
2008-12-31 00:00:00+00:00,0.02916603
2009-01-31 00:00:00+00:00,0.011391857
2009-02-28 00:00:00+00:00,0.054321665
2009-03-31 00:00:00+00:00,0.02331917
2009-04-30 00:00:00+00:00,0.06633897
2009-05-31 00:00:00+00:00,0.01573769
2009-06-30 00:00:00+00:00,2.4486512e-06
2009-07-31 00:00:00+00:00,0.0
2009-08-31 00:00:00+00:00,0.0
2009-09-30 00:00:00+00:00,2.5711566e-05
2009-10-31 00:00:00+00:00,0.00022968624
2009-11-30 00:00:00+00:00,0.026521659
2009-12-31 00:00:00+00:00,0.028055891
2010-01-31 00:00:00+00:00,0.25765324
2010-02-28 00:00:00+00:00,0.09463348
2010-03-31 00:00:00+00:00,0.084268995
2010-04-30 00:00:00+00:00,0.0017348165
2010-05-31 00:00:00+00:00,0.00052610144
2010-06-30 00:00:00+00:00,0.00014966601
2010-07-31 00:00:00+00:00,0.0
2010-08-31 00:00:00+00:00,7.857356e-06
2010-09-30 00:00:00+00:00,8.101069e-05
2010-10-31 00:00:00+00:00,0.000818216
2010-11-30 00:00:00+00:00,0.011840737
2010-12-31 00:00:00+00:00,0.02041679
2011-01-31 00:00:00+00:00,0.013947398
2011-02-28 00:00:00+00:00,0.16444492
2011-03-31 00:00:00+00:00,0.06165837
2011-04-30 00:00:00+00:00,0.016469102
2011-05-31 00:00:00+00:00,0.024881352
2011-06-30 00:00:00+00:00,6.538696e-05
2011-07-31 00:00:00+00:00,1.4652952e-05
2011-08-31 00:00:00+00:00,6.1014252e-05
2011-09-30 00:00:00+00:00,0.0006558418
2011-10-31 00:00:00+00:00,9.0863e-06
2011-11-30 00:00:00+00:00,0.0059424588
2011-12-31 00:00:00+00:00,0.0012254107
2012-01-31 00:00:00+00:00,0.116718106
2012-02-29 00:00:00+00:00,0.02396841
2012-03-31 00:00:00+00:00,0.058176823
